aalib 1.4rc5-17
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.6-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.6.1-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
rubygems 3.3.25-1
run-parts 5.5-1
rust 1:1.74.1-1
s-tui 1.1.4-6
sbc 2.0-1
scrot 1.10-1
sdl2 2.28.5-1
seabios 1.16.3-1
seatd 0.8.0-1
sed 4.9-3
semver 7.5.4-1
serd 0.32.0-1
shaderc 2023.7-2
shadow 4.14.2-1
shared-mime-info 2.4-1
signal-desktop 6.42.0-1
simplescreenrecorder-git 0.4.4.r9.gc092f3e-1
slang 2.3.3-2
slop 7.6-4
slurp 1.5.0-1
smartmontools 7.4-1
smbclient 4.19.3-2
snappy 1.1.10-1
sndio 1.9.0-1
sniffnet 1.2.2-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
spdlog 1.12.0-2
speex 1.2.1-1
speexdsp 1.2.1-1
spice 0.15.2-1
spice-gtk 0.42-3
spice-protocol 0.14.4-1
spirv-tools 2023.5-1
sqlite 3.44.2-2
squashfuse 0.5.0-1
sratom 0.6.16-1
srt 1.5.3-1
startup-notification 0.12-8
steam 1.0.0.78-2
stfl 0.24-5
stress 1.0.6-1
sudo 1.9.15.p4-1
suitesparse 7.3.1-1
svt-av1 1.8.0-1
swappy 1.5.1-1
sway 1:1.8.1-4
swaybg 1.2.0-1
swayidle 1.8.0-1
swayimg 1.12-2
swaylock 1.7.2-1
syncthing 1.27.1-1
sysstat 12.7.5-1
systemd 255.1-1
systemd-libs 255.1-1
systemd-sysvcompat 255.1-1
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-2
tdb 1.4.9-1
terminus-font 4.49.1-6
tevent 1:0.15.0-1
texinfo 7.1-2
thin-provisioning-tools 1.0.9-2
thunar 4.18.8-1
thunar-archive-plugin 0.5.2-1
thunderbird 115.6.0-1
tldr 3.2.0-1
tofi 0.9.1-2
tpm2-tss 4.0.1-1
traceroute 2.1.3-1
tracker3 3.6.0-2
transmission-gtk 4.0.5-1
trash-cli 0.23.2.13.2-2
tree 2.1.1-1
tree-sitter 0.20.10-2
tslib 1.22-1
ttf-bitstream-vera 1.10-15
ttf-dejavu 2.37+18+g9b5d1b2f-4
ttf-fira-code 6.2-2
ttf-fira-mono 2:3.206-4
ttf-hack 3.003-6
ttf-jetbrains-mono 2.304-1
ttf-liberation 2.1.5-1
ttf-nerd-fonts-symbols 3.1.1-1
ttf-nerd-fonts-symbols-common 3.1.1-1
ttf-opensans 1.101-2
ttf-roboto-mono 3.000-2
ttf-ubuntu-font-family 1:0.83-1
tumbler 4.18.2-1
twolame 0.4.0-3
tzdata 2023c-2
uchardet 0.0.8-2
udisks2 2.10.1-2
unibilium 2.1.1-1
unrar 1:6.2.12-1
unzip 6.0-20
upower 1.90.2-1
usbmuxd 1.1.1-3
usbredir 0.13.0-1
usbutils 017-1
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
v4l-utils 1.26.1-1
vde2 2.3.3-4
vid.stab 1.1.1-1
vim 9.0.2167-1
vim-runtime 9.0.2167-1
virglrenderer 0.10.4-1
virt-install 4.1.0-2
virt-manager 4.1.0-2
virtiofsd 1.8.0-1
vmaf 3.0.0-1
volume_key 0.3.12-8
vte-common 0.74.2-1
vte3 0.74.2-1
vulkan-icd-loader 1.3.274-1
vulkan-radeon 1:23.3.1-1
w3m 0.5.3.git20230121_1-1
wavpack 5.6.0-1
waybar 0.9.24-2
wayland 1.22.0-1
waypaper-git 2.0.2.r2.g4fb3f27-1
webrtc-audio-processing-1 1.3-2
wf-recorder 0.4.1-1
wget 1.21.4-1
which 2.21-6
wildmidi 0.4.5-2
wine 8.21-2
wireless_tools 30.pre9-3
wireplumber 0.4.17-1
wl-clipboard 1:2.2.1-1
wlroots0.16 0.16.2-2
wmctrl 1.07-6
wolfssl 5.6.4-1
wpa_supplicant 2:2.10-8
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xautolock 2.2-6
xbindkeys 1.8.7-4
xbitmaps 1.1.3-1
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-4
xcur2png 0.7.1-7
xdg-desktop-portal 1.18.2-1
xdg-desktop-portal-gtk 1.15.1-1
xdg-desktop-portal-wlr 0.7.0-2
xdg-user-dirs 0.18-1
xdg-user-dirs-gtk 0.11-2
xdg-utils 1.2.0r25+g0f49cf5-1
xdo 0.5.7-2
xdotool 3.20211022.1-1
xf86-input-libinput 1.4.0-1
xf86-video-amdgpu 23.0.0-1
xf86-video-ati 1:22.0.0-1
xfconf 4.18.3-1
xfsprogs 6.5.0-2
xkeyboard-config 2.40-1
xorg-fonts-encodings 1.0.7-1
xorg-server 21.1.10-1
xorg-server-common 21.1.10-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.2-1
xorg-xdpyinfo 1.3.4-1
xorg-xev 1.2.5-1
xorg-xeyes 1.3.0-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xwayland 23.2.3-1
xorgproto 2023.2-1
xsel 1.2.1-1
xsettingsd 1.0.2-1
xterm 388-1
xvidcore 1.3.7-2
xwallpaper 0.7.4-1
xxhash 0.8.2-1
xz 5.4.5-1
yajl 2.1.0-5
yay 12.2.0-1
yt-dlp 2023.11.16-1
zathura 0.5.4-1
zathura-pdf-poppler 0.3.2-2
zenity 4.0.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3-2
zsh 5.9-4
zsh-autosuggestions 0.7.0-2
zsh-syntax-highlighting 0.8.0-1
zstd 1.5.5-1
zziplib 0.13.72-2
